Part,Quantity,Unit Price,Total Price,Amazon Link,AliExpress Link,eBay Link (can change),Manufacturer,Weight on Drone (g),Alt. Product,Notes,Cheapest
analog camera,1,$31.23,$31.23,https://www.amazon.com/Caddx-Ratel-Micro-Camera-Switchable/dp/B0DDBW1D5F/,https://www.aliexpress.us/item/3256807158842523.html,https://www.ebay.com/itm/157155289889,https://caddxfpv.com/products/ratel-2-1-1-8inch-starlight-sensor-freestyle-fpv-camera,5,,,"amazon, but aliexpress is just a bit more for more reviews"
FC-ESC Stack,1,$75.15,$75.15,F405 Mini Stack,https://www.aliexpress.us/item/3256806779866237.html,https://www.ebay.com/itm/145520506360,https://www.speedybee.com/speedybee-f405-mini-bls-35a-20x20-stack/,13.5,,speedybee f405 mini stack,aliexpress
ESP32C3 XIAOs (3 pack),1,$19.99,$0.00,https://www.amazon.com/Seeed-Studio-XIAO-ESP32C3-Microcontroller/dp/B0DGX3LSC7,https://www.aliexpress.us/item/3256805195972424.html,https://www.ebay.com/itm/256334636719,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C3-3PCS-p-5920.html,4,,"One for drone-side receiver, two for controllers",amazon (or manufacturer depending on shipping cost)
Headset,1,$54.19,$54.19,(none found),(none found),(any pre-owned set you can find),https://emax-usa.com,,,"I used the Emax Transporter, feel free to use whatever analog goggles you'd like",manufacturer
Buzzer,1,$2.12,$2.12,https://www.amazon.com/Cylewet-Electronic-Magnetic-Continuous-Arduino/dp/B01N7NHSY6/,https://www.aliexpress.us/item/2255800643239740.html,https://www.ebay.com/itm/324358979243,(none),2,,get the 12x9.5 5V kind,aliexpress
VTX,1,$24.99,$24.99,https://www.amazon.com/HGLRC-Microphone-Switchable-Transmitter-Betaflight/dp/B08MQ4ZDVF/,Likely not a good seller,https://www.ebay.com/itm/236115710085,https://www.hglrc.com/products/hglrc-zeus-nano-vtx-350mw-for-fpv-racing-drone,2.4,rush tank ultimate plus - $40,,amazon
drone batteries,1,$50.63,$50.63,https://www.amazon.com/Ovonic-Packs-1550mAh-Battery-Racing/dp/B0821YX6JB/,$2 cheaper but less buys,4-pack but cheaper per battery,https://us.ovonicshop.com/products/ovonic-100c-14-8v-1550mah-4s1p-xt60-lipo-battery-4pcs,190,,,ebay (can change)
battery straps,1,$2.67,$2.67,https://www.amazon.com/Apex-RC-Products-Non-Slip-Battery/dp/B01MRJ7BUY/,https://www.aliexpress.us/item/3256806939437749.html,https://www.ebay.com/itm/267163799860,(none),5,,"Length 250+ mm, width ≤20mm",aliexpress
18mm M3 standoffs,2,$2.30,$4.60,(none found),https://www.aliexpress.us/item/3256808051105851.html,https://www.ebay.com/itm/394867520163,(none),9,,"M3x18+6, make sure they're threaded, need 6 total",aliexpress
Body (filament),1,$19.99,$19.99,,,,,250,,"any reliable PETG-CF brand is good: Atomic Filament's is the best, but really expensive",amazon (most likely)
